"codes","official_explanation"
"RETINAL","Null"
"00.01","Null"
"00.10","Null"
"10.91","Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
"11.60","Tuberculous pneumonia [any form], unspecified"
"11.75","Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.90","Pulmonary tuberculosis, unspecified, unspecified"
"12.14","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"12.64","Null"
"13.41","Tuberculoma of spinal cord, bacteriological or histological examination not done"
"13.43","Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
"13.65","Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"13.69","Null"
"13.70","Null"
"14.32","Null"
"14.34","Null"
"14.39","Null"
"14.41","Null"
"16.49","Null"
"16.92","Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
"042","Human immunodeficiency virus [HIV] disease"
"053.20","Herpes zoster dermatitis of eyelid"
"053.21","Herpes zoster keratoconjunctivitis"
"053.22","Herpes zoster iridocyclitis"
"053.29","Herpes zoster with other ophthalmic complications"
"053.79","Herpes zoster with other specified complications"
"053.8","Herpes zoster with unspecified complication"
"053.9","Herpes zoster without mention of complication"
"054.10","Genital herpes, unspecified"
"054.40","Herpes simplex with unspecified ophthalmic complication"
"054.42","Dendritic keratitis"
"054.43","Herpes simplex disciform keratitis"
"054.44","Herpes simplex iridocyclitis"
"054.49","Herpes simplex with other ophthalmic complications"
"054.9","Herpes simplex without mention of complication"
"070.59","Other specified viral hepatitis without mention of hepatic coma"
"070.70","Unspecified viral hepatitis C without hepatic coma"
"077.1","Epidemic keratoconjunctivitis"
"077.3","Other adenoviral conjunctivitis"
"077.8","Other viral conjunctivitis"
"077.99","Unspecified diseases of conjunctiva due to viruses"
"078.10","Viral warts, unspecified"
"079.4","Human papillomavirus in conditions classified elsewhere and of unspecified site"
"079.53","Human immunodeficiency virus, type 2 [HIV-2]"
"090.3","Syphilitic interstitial keratitis"
"091.50","Syphilitic uveitis, unspecified"
"092.9","Early syphilis, latent, unspecified"
"094.89","Other specified neurosyphilis"
"95.26","Null"
"95.34","Null"
"97.31","Null"
"115.90","Histoplasmosis, unspecified, without mention of manifestation"
"115.92","Histoplasmosis, unspecified, retinitis"
"115.99","Histoplasmosis, unspecified, other"
"130.2","Chorioretinitis due to toxoplasmosis"
"130.9","Toxoplasmosis, unspecified"
"135","Sarcoidosis"
"190.6","Malignant neoplasm of choroid"
"203.00","Multiple myeloma, without mention of having achieved remission"
"203.01","Multiple myeloma, in remission"
"208.10","Chronic leukemia of unspecified cell type, without mention of having achieved remission"
"213.0","Benign neoplasm of bones of skull and face"
"216.1","Benign neoplasm of eyelid, including canthus"
"216.9","Benign neoplasm of skin, site unspecified"
"224.0","Benign neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid"
"224.1","Benign neoplasm of orbit"
"224.2","Benign neoplasm of lacrimal gland"
"224.3","Benign neoplasm of conjunctiva"
"224.4","Benign neoplasm of cornea"
"224.5","Benign neoplasm of retina"
"224.6","Benign neoplasm of choroid"
"224.8","Benign neoplasm of other specified parts of eye"
"224.9","Benign neoplasm of eye, part unspecified"
"225.0","Benign neoplasm of brain"
"225.2","Benign neoplasm of cerebral meninges"
"227.3","Benign neoplasm of pituitary gland and craniopharyngeal duct"
"228.01","Hemangioma of skin and subcutaneous tissue"
"229.9","Benign neoplasm of unspecified site"
"231.2","Carcinoma in situ of bronchus and lung"
"233.0","Carcinoma in situ of breast"
"237.71","Neurofibromatosis, type 1 [von recklinghausen's disease]"
"238.8","Neoplasm of uncertain behavior of other specified sites"
"239.81","Neoplasms of unspecified nature, retina and choroid"
"242.00","Toxic diffuse goiter without mention of thyrotoxic crisis or storm"
"242.90","Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
"244.0","Postsurgical hypothyroidism"
"244.1","Other postablative hypothyroidism"
"244.2","Iodine hypothyroidism"
"244.9","Unspecified acquired hypothyroidism"
"245.9","Thyroiditis, unspecified"
"246.8","Other specified disorders of thyroid"
"246.9","Unspecified disorder of thyroid"
"249.00","Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified"
"249.50","Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified"
"249.81","Secondary diabetes mellitus with other specified manifestations, uncontrolled"
"250.00","Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"250.01","Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
"250.02","Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
"250.03","Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
"250.10","Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
"250.11","Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled"
"250.20","Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled"
"250.21","Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
"250.22","Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
"250.23","Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled"
"250.30","Diabetes with other coma, type II or unspecified type, not stated as uncontrolled"
"250.31","Diabetes with other coma, type I [juvenile type], not stated as uncontrolled"
"250.32","Diabetes with other coma, type II or unspecified type, uncontrolled"
"250.40","Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
"250.42","Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
"250.50","Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
"250.51","Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
"250.52","Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
"250.53","Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
"250.60","Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
"250.70","Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
"250.71","Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled"
"250.72","Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
"250.80","Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
"250.82","Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
"250.83","Diabetes with other specified manifestations, type I [juvenile type], uncontrolled"
"250.90","Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled"
"250.91","Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled"
"250.92","Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
"250.93","Diabetes with unspecified complication, type I [juvenile type], uncontrolled"
"253.5","Diabetes insipidus"
"253.8","Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin"
"270.2","Other disturbances of aromatic amino-acid metabolism"
"270.8","Other specified disorders of amino-acid metabolism"
"272.0","Pure hypercholesterolemia"
"272.4","Other and unspecified hyperlipidemia"
"278.00","Obesity, unspecified"
"278.02","Overweight"
"279.51","Acute graft-versus-host disease"
"279.52","Chronic graft-versus-host disease"
"281.9","Unspecified deficiency anemia"
"282.5","Sickle-cell trait"
"282.60","Sickle-cell disease, unspecified"
"282.61","Hb-SS disease without crisis"
"282.63","Sickle-cell/Hb-C disease without crisis"
"282.68","Other sickle-cell disease without crisis"
"282.7","Other hemoglobinopathies"
"284.2","Myelophthisis"
"285.9","Anemia, unspecified"
"287.8","Other specified hemorrhagic conditions"
"294.10","Dementia in conditions classified elsewhere without behavioral disturbance"
"294.8","Other persistent mental disorders due to conditions classified elsewhere"
"300.00","Anxiety state, unspecified"
"300.11","Conversion disorder"
"300.9","Unspecified nonpsychotic mental disorder"
"305.60","Cocaine abuse, unspecified"
"307.81","Tension headache"
"312.39","Other disorders of impulse control"
"314.00","Attention deficit disorder without mention of hyperactivity"
"315.00","Developmental reading disorder, unspecified"
"315.9","Unspecified delay in development"
"327.23","Obstructive sleep apnea (adult)(pediatric)"
"332.0","Paralysis agitans"
"333.2","Myoclonus"
"333.81","Blepharospasm"
"339.11","Episodic tension type headache"
"340","Multiple sclerosis"
"341.0","Neuromyelitis optica"
"343.9","Infantile cerebral palsy, unspecified"
"345.90","Epilepsy, unspecified, without mention of intractable epilepsy"
"346.00","Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
"346.02","Migraine with aura, without mention of intractable migraine with status migrainosus"
"346.03","Migraine with aura, with intractable migraine, so stated, with status migrainosus"
"346.20","Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus"
"346.22","Variants of migraine, not elsewhere classified, without mention of intractable migraine with status migrainosus"
"346.23","Variants of migraine, not elsewhere classified, with intractable migraine, so stated, with status migrainosus"
"346.80","Other forms of migraine, without mention of intractable migraine without mention of status migrainosus"
"346.90","Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
"346.91","Migraine, unspecified, with intractable migraine, so stated, without mention of status migrainosus"
"348.2","Benign intracranial hypertension"
"348.89","Other conditions of brain"
"350.1","Trigeminal neuralgia"
"350.2","Atypical face pain"
"351.0","Bell's palsy"
"351.8","Other facial nerve disorders"
"351.9","Facial nerve disorder, unspecified"
"352.9","Unspecified disorder of cranial nerves"
"358.00","Myasthenia gravis without (acute) exacerbation"
"358.01","Myasthenia gravis with (acute) exacerbation"
"360.01","Acute endophthalmitis"
"360.03","Chronic endophthalmitis"
"360.11","Sympathetic uveitis"
"360.12","Panuveitis"
"360.19","Other endophthalmitis"
"360.21","Progressive high (degenerative) myopia"
"360.23","Siderosis of globe"
"360.30","Hypotony of eye, unspecified"
"360.32","Ocular fistula causing hypotony"
"360.33","Hypotony associated with other ocular disorders"
"360.34","Flat anterior chamber of eye"
"360.41","Blind hypotensive eye"
"360.42","Blind hypertensive eye"
"360.50","Foreign body, magnetic, intraocular, unspecified"
"360.60","Foreign body, intraocular, unspecified"
"360.62","Foreign body in iris or ciliary body"
"360.81","Luxation of globe"
"360.89","Other disorders of globe"
"361.00","Retinal detachment with retinal defect, unspecified"
"361.01","Recent retinal detachment, partial, with single defect"
"361.02","Recent retinal detachment, partial, with multiple defects"
"361.03","Recent retinal detachment, partial, with giant tear"
"361.05","Recent retinal detachment, total or subtotal"
"361.06","Old retinal detachment, partial"
"361.07","Old retinal detachment, total or subtotal"
"361.10","Retinoschisis, unspecified"
"361.11","Flat retinoschisis"
"361.12","Bullous retinoschisis"
"361.13","Primary retinal cysts"
"361.19","Other retinoschisis and retinal cysts"
"361.2","Serous retinal detachment"
"361.30","Retinal defect, unspecified"
"361.31","Round hole of retina without detachment"
"361.32","Horseshoe tear of retina without detachment"
"361.33","Multiple defects of retina without detachment"
"361.81","Traction detachment of retina"
"361.89","Other forms of retinal detachment"
"361.9","Unspecified retinal detachment"
"362.01","Background diabetic retinopathy"
"362.02","Proliferative diabetic retinopathy"
"362.03","Nonproliferative diabetic retinopathy NOS"
"362.04","Mild nonproliferative diabetic retinopathy"
"362.05","Moderate nonproliferative diabetic retinopathy"
"362.06","Severe nonproliferative diabetic retinopathy"
"362.07","Diabetic macular edema"
"362.10","Background retinopathy, unspecified"
"362.11","Hypertensive retinopathy"
"362.12","Exudative retinopathy"
"362.13","Changes in vascular appearance of retina"
"362.14","Retinal microaneurysms NOS"
"362.15","Retinal telangiectasia"
"362.16","Retinal neovascularization NOS"
"362.17","Other intraretinal microvascular abnormalities"
"362.18","Retinal vasculitis"
"362.20","Retinopathy of prematurity, unspecified"
"362.21","Retrolental fibroplasia"
"362.29","Other nondiabetic proliferative retinopathy"
"362.30","Retinal vascular occlusion, unspecified"
"362.31","Central retinal artery occlusion"
"362.32","Retinal arterial branch occlusion"
"362.33","Partial retinal arterial occlusion"
"362.34","Transient retinal arterial occlusion"
"362.35","Central retinal vein occlusion"
"362.36","Venous tributary (branch) occlusion"
"362.362.54","Null"
"362.37","Venous engorgement"
"362.40","Retinal layer separation, unspecified"
"362.41","Central serous retinopathy"
"362.42","Serous detachment of retinal pigment epithelium"
"362.43","Hemorrhagic detachment of retinal pigment epithelium"
"362.50","Macular degeneration (senile), unspecified"
"362.51","Nonexudative senile macular degeneration"
"362.52","Exudative senile macular degeneration"
